#  Theta paroi en deg  Angle Choc en deg        Kp           Inverse Mach       Mach amont       Mach aval
    19.64808183       37.48277778        0.31576725        0.36636681        2.00000000        1.70406392
    19.71812398       37.54277778        0.31764577        0.36555680        2.00000000        1.70194174
    19.78797381       37.60277778        0.31952392        0.36474608        2.00000000        1.69982244
    19.85763347       37.66277778        0.32140172        0.36393465        2.00000000        1.69770601
    19.92710505       37.72277778        0.32327918        0.36312249        2.00000000        1.69559241
    19.99639058       37.78277778        0.32515631        0.36230958        2.00000000        1.69348164
    20.06549205       37.84277778        0.32703313        0.36149590        2.00000000        1.69137368
    20.13441141       37.90277778        0.32890966        0.36068145        2.00000000        1.68926851
    20.20315055       37.96277778        0.33078590        0.35986620        2.00000000        1.68716612
    20.27171182       38.02277778        0.33266188        0.35905014        2.00000000        1.68506648
    20.34009677       38.08277778        0.33453760        0.35823325        2.00000000        1.68296959
    20.40830699       38.14277778        0.33641307        0.35741553        2.00000000        1.68087542
    20.47634420       38.20277778        0.33828831        0.35659695        2.00000000        1.67878396
    20.54421007       38.26277778        0.34016331        0.35577751        2.00000000        1.67669519
    20.61190664       38.32277778        0.34203810        0.35495718        2.00000000        1.67460909
    20.67943586       38.38277778        0.34391270        0.35413596        2.00000000        1.67252566
    20.74679860       38.44277778        0.34578710        0.35331383        2.00000000        1.67044488
    20.81399641       38.50277778        0.34766130        0.35249078        2.00000000        1.66836672
    20.88103157       38.56277778        0.34953533        0.35166679        2.00000000        1.66629118
    20.94790536       38.62277778        0.35140920        0.35084185        2.00000000        1.66421823
    21.01461865       38.68277778        0.35328290        0.35001595        2.00000000        1.66214788
    21.08117355       38.74277778        0.35515645        0.34918908        2.00000000        1.66008009
    21.14757160       38.80277778        0.35702986        0.34836121        2.00000000        1.65801485
    21.21381328       38.86277778        0.35890312        0.34753235        2.00000000        1.65595216
    21.27990119       38.92277778        0.36077627        0.34670248        2.00000000        1.65389199
    21.34583583       38.98277778        0.36264928        0.34587158        2.00000000        1.65183434
    21.41161850       39.04277778        0.36452216        0.34503964        2.00000000        1.64977918
    21.47725130       39.10277778        0.36639496        0.34420665        2.00000000        1.64772651
    21.54273409       39.16277778        0.36826761        0.34337261        2.00000000        1.64567631
    21.60807004       39.22277778        0.37014020        0.34253748        2.00000000        1.64362856
    21.67325830       39.28277778        0.37201266        0.34170129        2.00000000        1.64158326
    21.73830194       39.34277778        0.37388506        0.34086398        2.00000000        1.63954039
    21.80320036       39.40277778        0.37575734        0.34002558        2.00000000        1.63749993
    21.86795649       39.46277778        0.37762957        0.33918604        2.00000000        1.63546188
    21.93256962       39.52277778        0.37950169        0.33834539        2.00000000        1.63342622
    21.99704277       39.58277778        0.38137377        0.33750358        2.00000000        1.63139294
    22.06137530       39.64277778        0.38324575        0.33666064        2.00000000        1.62936202
    22.12556946       39.70277778        0.38511768        0.33581652        2.00000000        1.62733346
    22.18962572       39.76277778        0.38698953        0.33497123        2.00000000        1.62530724
    22.25354491       39.82277778        0.38886132        0.33412476        2.00000000        1.62328334
    22.31732904       39.88277778        0.39073306        0.33327708        2.00000000        1.62126176
    22.38097784       39.94277778        0.39260473        0.33242821        2.00000000        1.61924249
    22.44449306       40.00277778        0.39447636        0.33157811        2.00000000        1.61722551
    22.50787569       40.06277778        0.39634794        0.33072679        2.00000000        1.61521080
    22.57112596       40.12277778        0.39821945        0.32987423        2.00000000        1.61319837
    22.63424546       40.18277778        0.40009092        0.32902042        2.00000000        1.61118820
    22.69723517       40.24277778        0.40196235        0.32816535        2.00000000        1.60918027
    22.76009531       40.30277778        0.40383373        0.32730902        2.00000000        1.60717457
    22.82282683       40.36277778        0.40570505        0.32645141        2.00000000        1.60517110
    22.88543166       40.42277778        0.40757635        0.32559250        2.00000000        1.60316984
    22.94790956       40.48277778        0.40944761        0.32473230        2.00000000        1.60117079
    23.01026140       40.54277778        0.41131881        0.32387079        2.00000000        1.59917392
    23.07248802       40.60277778        0.41318996        0.32300797        2.00000000        1.59717923
    23.13459098       40.66277778        0.41506109        0.32214381        2.00000000        1.59518672
    23.19657042       40.72277778        0.41693218        0.32127832        2.00000000        1.59319636
    23.25842701       40.78277778        0.41880323        0.32041148        2.00000000        1.59120815
    23.32016154       40.84277778        0.42067422        0.31954328        2.00000000        1.58922208
    23.38177477       40.90277778        0.42254518        0.31867372        2.00000000        1.58723814
    23.44326763       40.96277778        0.42441609        0.31780278        2.00000000        1.58525632
    23.50464102       41.02277778        0.42628698        0.31693045        2.00000000        1.58327660
    23.56589526       41.08277778        0.42815782        0.31605673        2.00000000        1.58129898
    23.62703104       41.14277778        0.43002861        0.31518160        2.00000000        1.57932346
    23.68804906       41.20277778        0.43189936        0.31430507        2.00000000        1.57735001
    23.74894998       41.26277778        0.43377006        0.31342711        2.00000000        1.57537863
    23.80973449       41.32277778        0.43564072        0.31254772        2.00000000        1.57340931
    23.87040321       41.38277778        0.43751132        0.31166688        2.00000000        1.57144204
    23.93095680       41.44277778        0.43938188        0.31078460        2.00000000        1.56947681
    23.99139587       41.50277778        0.44125239        0.30990086        2.00000000        1.56751361
    24.05172103       41.56277778        0.44312285        0.30901565        2.00000000        1.56555244
    24.11193289       41.62277778        0.44499325        0.30812896        2.00000000        1.56359328
    24.17203203       41.68277778        0.44686360        0.30724079        2.00000000        1.56163613
    24.23201902       41.74277778        0.44873389        0.30635112        2.00000000        1.55968098
    24.29189443       41.80277778        0.45060413        0.30545995        2.00000000        1.55772781
    24.35165882       41.86277778        0.45247430        0.30456726        2.00000000        1.55577662
    24.41131271       41.92277778        0.45434441        0.30367305        2.00000000        1.55382740
    24.47085665       41.98277778        0.45621446        0.30277731        2.00000000        1.55188015
    24.53029115       42.04277778        0.45808443        0.30188004        2.00000000        1.54993484
    24.58961672       42.10277778        0.45995434        0.30098121        2.00000000        1.54799149
    24.64883387       42.16277778        0.46182417        0.30008083        2.00000000        1.54605007
    24.70794307       42.22277778        0.46369393        0.29917888        2.00000000        1.54411058
    24.76694482       42.28277778        0.46556360        0.29827536        2.00000000        1.54217302
    24.82583957       42.34277778        0.46743319        0.29737026        2.00000000        1.54023736
    24.88462779       42.40277778        0.46930270        0.29646357        2.00000000        1.53830362
    24.94330992       42.46277778        0.47117211        0.29555528        2.00000000        1.53637177
    25.00188675       42.52277778        0.47304145        0.29464538        2.00000000        1.53444181
    25.06035861       42.58277778        0.47491069        0.29373385        2.00000000        1.53251374
    25.11872573       42.64277778        0.47677984        0.29282071        2.00000000        1.53058754
    25.17698850       42.70277778        0.47864888        0.29190593        2.00000000        1.52866320
    25.23514735       42.76277778        0.48051781        0.29098951        2.00000000        1.52674073
    25.29320267       42.82277778        0.48238663        0.29007145        2.00000000        1.52482011
    25.35115544       42.88277778        0.48425536        0.28915172        2.00000000        1.52290134
    25.40900564       42.94277778        0.48612397        0.28823032        2.00000000        1.52098441
    25.46675349       43.00277778        0.48799245        0.28730725        2.00000000        1.51906931
    25.52439934       43.06277778        0.48986081        0.28638249        2.00000000        1.51715604
    25.58194387       43.12277778        0.49172905        0.28545605        2.00000000        1.51524458
    25.63938773       43.18277778        0.49359716        0.28452789        2.00000000        1.51333493
    25.69673069       43.24277778        0.49546514        0.28359804        2.00000000        1.51142709
    25.75397307       43.30277778        0.49733297        0.28266646        2.00000000        1.50952105
    25.81111580       43.36277778        0.49920067        0.28173316        2.00000000        1.50761680
    25.86815906       43.42277778        0.50106823        0.28079812        2.00000000        1.50571433
    25.92510273       43.48277778        0.50293562        0.27986135        2.00000000        1.50381364
    25.98194742       43.54277778        0.50480286        0.27892282        2.00000000        1.50191473
    26.03869399       43.60277778        0.50666996        0.27798253        2.00000000        1.50001758
    26.09534190       43.66277778        0.50853688        0.27704048        2.00000000        1.49812219
    26.15189175       43.72277778        0.51040363        0.27609665        2.00000000        1.49622855
    26.20834444       43.78277778        0.51227023        0.27515104        2.00000000        1.49433666
    26.26469933       43.84277778        0.51413663        0.27420363        2.00000000        1.49244651
    26.32095734       43.90277778        0.51600286        0.27325443        2.00000000        1.49055810
    26.37711878       43.96277778        0.51786891        0.27230341        2.00000000        1.48867141
    26.43318322       44.02277778        0.51973474        0.27135059        2.00000000        1.48678645
    26.48915220       44.08277778        0.52160041        0.27039593        2.00000000        1.48490321
    26.54502483       44.14277778        0.52346587        0.26943945        2.00000000        1.48302167
    26.60080192       44.20277778        0.52533112        0.26848112        2.00000000        1.48114185
    26.65648380       44.26277778        0.52719617        0.26752095        2.00000000        1.47926372
    26.71207016       44.32277778        0.52906098        0.26655892        2.00000000        1.47738729
    26.76756230       44.38277778        0.53092560        0.26559502        2.00000000        1.47551255
    26.82295912       44.44277778        0.53278997        0.26462925        2.00000000        1.47363949
    26.87826239       44.50277778        0.53465414        0.26366159        2.00000000        1.47176811
    26.93347086       44.56277778        0.53651805        0.26269205        2.00000000        1.46989841
    26.98858608       44.62277778        0.53838174        0.26172061        2.00000000        1.46803037
    27.04360707       44.68277778        0.54024517        0.26074727        2.00000000        1.46616400
    27.09853522       44.74277778        0.54210836        0.25977200        2.00000000        1.46429928
    27.15336958       44.80277778        0.54397128        0.25879482        2.00000000        1.46243622
    27.20811162       44.86277778        0.54583396        0.25781570        2.00000000        1.46057480
    27.26276016       44.92277778        0.54769635        0.25683466        2.00000000        1.45871503
    27.31731699       44.98277778        0.54955849        0.25585165        2.00000000        1.45685689
    27.37178078       45.04277778        0.55142034        0.25486670        2.00000000        1.45500039
