#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.79200004E+00  0.75955229E-02  0.28638259E-01  0.71931955E-01  0.90085771E-01  0.75429896E-02
 0.79800004E+00  0.77685853E-02  0.29071391E-01  0.72472442E-01  0.90075940E-01  0.77151929E-02
 0.80400004E+00  0.79442557E-02  0.29507766E-01  0.73012869E-01  0.90065886E-01  0.78899946E-02
 0.81000004E+00  0.81225536E-02  0.29947383E-01  0.73553235E-01  0.90055606E-01  0.80674140E-02
 0.81600004E+00  0.83034984E-02  0.30390242E-01  0.74093539E-01  0.90045097E-01  0.82474703E-02
 0.82200004E+00  0.84871096E-02  0.30836343E-01  0.74633779E-01  0.90034355E-01  0.84301829E-02
 0.82800004E+00  0.86734067E-02  0.31285686E-01  0.75173954E-01  0.90023378E-01  0.86155711E-02
 0.83400004E+00  0.88624091E-02  0.31738269E-01  0.75714062E-01  0.90012160E-01  0.88036542E-02
 0.84000004E+00  0.90541362E-02  0.32194092E-01  0.76254103E-01  0.90000700E-01  0.89944513E-02
 0.84600004E+00  0.92486075E-02  0.32653156E-01  0.76794074E-01  0.89988993E-01  0.91879819E-02
 0.85200004E+00  0.94458424E-02  0.33115459E-01  0.77333974E-01  0.89977036E-01  0.93842651E-02
 0.85800004E+00  0.96458603E-02  0.33581002E-01  0.77873801E-01  0.89964826E-01  0.95833202E-02
 0.86400004E+00  0.98486807E-02  0.34049783E-01  0.78413555E-01  0.89952359E-01  0.97851664E-02
 0.87000004E+00  0.10054323E-01  0.34521802E-01  0.78953233E-01  0.89939631E-01  0.99898231E-02
 0.87600004E+00  0.10262807E-01  0.34997059E-01  0.79492834E-01  0.89926639E-01  0.10197309E-01
 0.88200004E+00  0.10474151E-01  0.35475554E-01  0.80032356E-01  0.89913380E-01  0.10407645E-01
 0.88800004E+00  0.10688376E-01  0.35957286E-01  0.80571798E-01  0.89899849E-01  0.10620848E-01
 0.89400004E+00  0.10905500E-01  0.36442254E-01  0.81111158E-01  0.89886043E-01  0.10836938E-01
 0.90000004E+00  0.11125543E-01  0.36930458E-01  0.81650434E-01  0.89871959E-01  0.11055935E-01
 0.90600004E+00  0.11348525E-01  0.37421897E-01  0.82189625E-01  0.89857592E-01  0.11277858E-01
 0.91200004E+00  0.11574465E-01  0.37916571E-01  0.82728729E-01  0.89842939E-01  0.11502725E-01
 0.91800004E+00  0.11803382E-01  0.38414480E-01  0.83267744E-01  0.89827997E-01  0.11730556E-01
 0.92400004E+00  0.12035295E-01  0.38915622E-01  0.83806669E-01  0.89812761E-01  0.11961371E-01
 0.93000004E+00  0.12270225E-01  0.39419998E-01  0.84345501E-01  0.89797228E-01  0.12195188E-01
