#  Theta paroi en °  Angle Choc en °     Mach amont
    37.83947548       42.39981656       20.00000000
    37.91316014       42.48695058       20.00000000
    37.98680677       42.57408460       20.00000000
    38.06041516       42.66121861       20.00000000
    38.13398509       42.74835263       20.00000000
    38.20751636       42.83548664       20.00000000
    38.28100876       42.92262066       20.00000000
    38.35446205       43.00975468       20.00000000
    38.42787603       43.09688869       20.00000000
    38.50125048       43.18402271       20.00000000
    38.57458517       43.27115672       20.00000000
    38.64787989       43.35829074       20.00000000
    38.72113439       43.44542476       20.00000000
    38.79434847       43.53255877       20.00000000
    38.86752190       43.61969279       20.00000000
    38.94065443       43.70682680       20.00000000
    39.01374585       43.79396082       20.00000000
    39.08679592       43.88109484       20.00000000
    39.15980441       43.96822885       20.00000000
    39.23277107       44.05536287       20.00000000
    39.30569567       44.14249689       20.00000000
    39.37857796       44.22963090       20.00000000
    39.45141772       44.31676492       20.00000000
    39.52421470       44.40389893       20.00000000
    39.59696864       44.49103295       20.00000000
    39.66967930       44.57816697       20.00000000
    39.74234644       44.66530098       20.00000000
    39.81496979       44.75243500       20.00000000
    39.88754912       44.83956901       20.00000000
    39.96008416       44.92670303       20.00000000
    40.03257465       45.01383705       20.00000000
    40.10502035       45.10097106       20.00000000
    40.17742098       45.18810508       20.00000000
    40.24977628       45.27523909       20.00000000
    40.32208600       45.36237311       20.00000000
    40.39434986       45.44950713       20.00000000
    40.46656759       45.53664114       20.00000000
    40.53873893       45.62377516       20.00000000
    40.61086359       45.71090917       20.00000000
    40.68294132       45.79804319       20.00000000
    40.75497182       45.88517721       20.00000000
    40.82695482       45.97231122       20.00000000
    40.89889004       46.05944524       20.00000000
    40.97077719       46.14657925       20.00000000
    41.04261599       46.23371327       20.00000000
    41.11440616       46.32084729       20.00000000
    41.18614739       46.40798130       20.00000000
    41.25783940       46.49511532       20.00000000
    41.32948189       46.58224933       20.00000000
    41.40107457       46.66938335       20.00000000
    41.47261713       46.75651737       20.00000000
    41.54410928       46.84365138       20.00000000
    41.61555071       46.93078540       20.00000000
    41.68694111       47.01791941       20.00000000
    41.75828018       47.10505343       20.00000000
    41.82956760       47.19218745       20.00000000
    41.90080306       47.27932146       20.00000000
    41.97198625       47.36645548       20.00000000
    42.04311683       47.45358949       20.00000000
    42.11419450       47.54072351       20.00000000
    42.18521893       47.62785753       20.00000000
    42.25618979       47.71499154       20.00000000
    42.32710676       47.80212556       20.00000000
    42.39796949       47.88925957       20.00000000
    42.46877766       47.97639359       20.00000000
    42.53953093       48.06352761       20.00000000
    42.61022897       48.15066162       20.00000000
    42.68087141       48.23779564       20.00000000
    42.75145793       48.32492965       20.00000000
    42.82198817       48.41206367       20.00000000
    42.89246179       48.49919769       20.00000000
    42.96287842       48.58633170       20.00000000
    43.03323771       48.67346572       20.00000000
    43.10353931       48.76059973       20.00000000
    43.17378284       48.84773375       20.00000000
    43.24396795       48.93486777       20.00000000
    43.31409427       49.02200178       20.00000000
    43.38416141       49.10913580       20.00000000
    43.45416902       49.19626981       20.00000000
    43.52411670       49.28340383       20.00000000
    43.59400409       49.37053785       20.00000000
    43.66383079       49.45767186       20.00000000
    43.73359642       49.54480588       20.00000000
    43.80330059       49.63193989       20.00000000
    43.87294290       49.71907391       20.00000000
    43.94252295       49.80620793       20.00000000
    44.01204036       49.89334194       20.00000000
    44.08149470       49.98047596       20.00000000
    44.15088559       50.06760997       20.00000000
    44.22021260       50.15474399       20.00000000
    44.28947532       50.24187801       20.00000000
    44.35867333       50.32901202       20.00000000
    44.42780621       50.41614604       20.00000000
    44.49687355       50.50328005       20.00000000
    44.56587490       50.59041407       20.00000000
    44.63480984       50.67754809       20.00000000
    44.70367793       50.76468210       20.00000000
    44.77247874       50.85181612       20.00000000
    44.84121181       50.93895013       20.00000000
    44.90987671       51.02608415       20.00000000
    44.97847298       51.11321817       20.00000000
    45.04700017       51.20035218       20.00000000
    45.11545782       51.28748620       20.00000000
    45.18384546       51.37462021       20.00000000
    45.25216264       51.46175423       20.00000000
    45.32040887       51.54888825       20.00000000
    45.38858369       51.63602226       20.00000000
    45.45668661       51.72315628       20.00000000
    45.52471716       51.81029029       20.00000000
    45.59267484       51.89742431       20.00000000
    45.66055917       51.98455833       20.00000000
    45.72836964       52.07169234       20.00000000
    45.79610577       52.15882636       20.00000000
    45.86376703       52.24596037       20.00000000
    45.93135293       52.33309439       20.00000000
    45.99886295       52.42022841       20.00000000
    46.06629658       52.50736242       20.00000000
    46.13365328       52.59449644       20.00000000
    46.20093254       52.68163045       20.00000000
    46.26813381       52.76876447       20.00000000
    46.33525657       52.85589849       20.00000000
    46.40230027       52.94303250       20.00000000
    46.46926436       53.03016652       20.00000000
    46.53614830       53.11730053       20.00000000
    46.60295152       53.20443455       20.00000000
    46.66967347       53.29156857       20.00000000
    46.73631357       53.37870258       20.00000000
    46.80287126       53.46583660       20.00000000
    46.86934596       53.55297061       20.00000000
    46.93573708       53.64010463       20.00000000
    47.00204405       53.72723865       20.00000000
    47.06826625       53.81437266       20.00000000
    47.13440311       53.90150668       20.00000000
    47.20045400       53.98864070       20.00000000
    47.26641833       54.07577471       20.00000000
    47.33229548       54.16290873       20.00000000
    47.39808482       54.25004274       20.00000000
    47.46378573       54.33717676       20.00000000
    47.52939758       54.42431078       20.00000000
    47.59491972       54.51144479       20.00000000
    47.66035152       54.59857881       20.00000000
    47.72569232       54.68571282       20.00000000
    47.79094146       54.77284684       20.00000000
    47.85609829       54.85998086       20.00000000
    47.92116213       54.94711487       20.00000000
    47.98613231       55.03424889       20.00000000
    48.05100815       55.12138290       20.00000000
    48.11578895       55.20851692       20.00000000
    48.18047402       55.29565094       20.00000000
    48.24506266       55.38278495       20.00000000
    48.30955417       55.46991897       20.00000000
    48.37394782       55.55705298       20.00000000
    48.43824289       55.64418700       20.00000000
    48.50243866       55.73132102       20.00000000
    48.56653439       55.81845503       20.00000000
    48.63052933       55.90558905       20.00000000
    48.69442274       55.99272306       20.00000000
    48.75821385       56.07985708       20.00000000
    48.82190191       56.16699110       20.00000000
    48.88548614       56.25412511       20.00000000
    48.94896575       56.34125913       20.00000000
    49.01233996       56.42839314       20.00000000
    49.07560798       56.51552716       20.00000000
    49.13876900       56.60266118       20.00000000
    49.20182221       56.68979519       20.00000000
    49.26476679       56.77692921       20.00000000
    49.32760192       56.86406322       20.00000000
    49.39032675       56.95119724       20.00000000
    49.45294044       57.03833126       20.00000000
    49.51544214       57.12546527       20.00000000
    49.57783098       57.21259929       20.00000000
    49.64010611       57.29973330       20.00000000
    49.70226663       57.38686732       20.00000000
    49.76431167       57.47400134       20.00000000
    49.82624032       57.56113535       20.00000000
    49.88805167       57.64826937       20.00000000
    49.94974483       57.73540338       20.00000000
    50.01131884       57.82253740       20.00000000
    50.07277280       57.90967142       20.00000000
    50.13410575       57.99680543       20.00000000
    50.19531673       58.08393945       20.00000000
