#  Theta paroi en °         Kp           Mach amont
     4.05523783        0.07126400        1.01000000
     4.05219846        0.07123700        1.01000000
     4.04914706        0.07120975        1.01000000
     4.04608365        0.07118223        1.01000000
     4.04300822        0.07115445        1.01000000
     4.03992075        0.07112641        1.01000000
     4.03682122        0.07109810        1.01000000
     4.03370961        0.07106953        1.01000000
     4.03058592        0.07104070        1.01000000
     4.02745014        0.07101161        1.01000000
     4.02430229        0.07098225        1.01000000
     4.02114231        0.07095263        1.01000000
     4.01797020        0.07092275        1.01000000
     4.01478593        0.07089261        1.01000000
     4.01158956        0.07086220        1.01000000
     4.00838100        0.07083154        1.01000000
     4.00516025        0.07080061        1.01000000
     4.00192732        0.07076942        1.01000000
     3.99868220        0.07073796        1.01000000
     3.99542485        0.07070625        1.01000000
     3.99215525        0.07067427        1.01000000
     3.98887344        0.07064203        1.01000000
     3.98557934        0.07060953        1.01000000
     3.98227297        0.07057677        1.01000000
     3.97895433        0.07054375        1.01000000
     3.97562334        0.07051046        1.01000000
     3.97228008        0.07047691        1.01000000
     3.96892445        0.07044310        1.01000000
     3.96555648        0.07040903        1.01000000
     3.96217614        0.07037470        1.01000000
     3.95878340        0.07034010        1.01000000
     3.95537828        0.07030524        1.01000000
     3.95196072        0.07027012        1.01000000
     3.94853075        0.07023474        1.01000000
     3.94508829        0.07019910        1.01000000
     3.94163339        0.07016320        1.01000000
     3.93816598        0.07012703        1.01000000
     3.93468608        0.07009060        1.01000000
     3.93119364        0.07005391        1.01000000
     3.92768865        0.07001696        1.01000000
     3.92417113        0.06997975        1.01000000
     3.92064098        0.06994227        1.01000000
     3.91709828        0.06990454        1.01000000
     3.91354293        0.06986654        1.01000000
     3.90997492        0.06982828        1.01000000
     3.90639429        0.06978976        1.01000000
     3.90280096        0.06975097        1.01000000
     3.89919491        0.06971193        1.01000000
     3.89557617        0.06967262        1.01000000
     3.89194467        0.06963305        1.01000000
     3.88830038        0.06959322        1.01000000
     3.88464335        0.06955312        1.01000000
     3.88097349        0.06951277        1.01000000
     3.87729078        0.06947215        1.01000000
     3.87359521        0.06943127        1.01000000
     3.86988680        0.06939013        1.01000000
     3.86616548        0.06934872        1.01000000
     3.86243123        0.06930706        1.01000000
     3.85868402        0.06926513        1.01000000
     3.85492383        0.06922294        1.01000000
     3.85115067        0.06918048        1.01000000
     3.84736450        0.06913777        1.01000000
     3.84356527        0.06909479        1.01000000
     3.83975296        0.06905155        1.01000000
     3.83592756        0.06900804        1.01000000
     3.83208903        0.06896428        1.01000000
     3.82823735        0.06892025        1.01000000
     3.82437250        0.06887596        1.01000000
     3.82049445        0.06883140        1.01000000
     3.81660317        0.06878658        1.01000000
     3.81269863        0.06874150        1.01000000
     3.80878082        0.06869616        1.01000000
     3.80484969        0.06865055        1.01000000
     3.80090523        0.06860468        1.01000000
     3.79694740        0.06855855        1.01000000
     3.79297617        0.06851215        1.01000000
     3.78899152        0.06846549        1.01000000
     3.78499341        0.06841857        1.01000000
     3.78098182        0.06837138        1.01000000
     3.77695671        0.06832393        1.01000000
     3.77291805        0.06827621        1.01000000
     3.76886581        0.06822823        1.01000000
     3.76479995        0.06817999        1.01000000
     3.76072045        0.06813148        1.01000000
     3.75662727        0.06808271        1.01000000
     3.75252042        0.06803367        1.01000000
     3.74839982        0.06798437        1.01000000
     3.74426544        0.06793481        1.01000000
     3.74011724        0.06788498        1.01000000
     3.73595520        0.06783488        1.01000000
     3.73177933        0.06778452        1.01000000
     3.72758952        0.06773390        1.01000000
     3.72338576        0.06768300        1.01000000
     3.71916803        0.06763185        1.01000000
     3.71493630        0.06758043        1.01000000
     3.71069050        0.06752874        1.01000000
     3.70643061        0.06747679        1.01000000
     3.70215663        0.06742457        1.01000000
     3.69786845        0.06737209        1.01000000
     3.69356608        0.06731934        1.01000000
     3.68924949        0.06726632        1.01000000
     3.68491858        0.06721304        1.01000000
     3.68057341        0.06715949        1.01000000
     3.67621385        0.06710567        1.01000000
     3.67183991        0.06705159        1.01000000
     3.66745153        0.06699724        1.01000000
     3.66304866        0.06694262        1.01000000
     3.65863130        0.06688774        1.01000000
     3.65419935        0.06683258        1.01000000
     3.64975283        0.06677716        1.01000000
     3.64529164        0.06672148        1.01000000
     3.64081577        0.06666552        1.01000000
     3.63632518        0.06660930        1.01000000
     3.63181979        0.06655280        1.01000000
     3.62729961        0.06649604        1.01000000
     3.62276453        0.06643901        1.01000000
     3.61821458        0.06638171        1.01000000
     3.61364966        0.06632415        1.01000000
     3.60906970        0.06626631        1.01000000
     3.60447475        0.06620820        1.01000000
     3.59986468        0.06614983        1.01000000
     3.59523943        0.06609118        1.01000000
     3.59059904        0.06603226        1.01000000
     3.58594339        0.06597308        1.01000000
     3.58127243        0.06591362        1.01000000
     3.57658613        0.06585389        1.01000000
     3.57188446        0.06579389        1.01000000
     3.56716734        0.06573362        1.01000000
     3.56243471        0.06567308        1.01000000
     3.55768652        0.06561227        1.01000000
     3.55292273        0.06555118        1.01000000
     3.54814332        0.06548982        1.01000000
     3.54334819        0.06542819        1.01000000
     3.53853728        0.06536629        1.01000000
     3.53371056        0.06530412        1.01000000
     3.52886796        0.06524167        1.01000000
     3.52400942        0.06517895        1.01000000
     3.51913490        0.06511595        1.01000000
     3.51424432        0.06505268        1.01000000
     3.50933765        0.06498914        1.01000000
     3.50441481        0.06492532        1.01000000
     3.49947575        0.06486123        1.01000000
     3.49452041        0.06479687        1.01000000
